cell_line,iteration,val_f1,running_best_val_f1,train_f1,test_f1
NCI-H2170,1,0.7538490601681307,0.7538490601681307,0.758655268369726,0.7270973077276486
NCI-H2170,2,0.5954314720812183,0.7538490601681307,0.6103222459962394,0.5762234178836793
NCI-H2170,3,0.7225343320848939,0.7538490601681307,0.712051366480079,0.7023951166520097
NCI-H2170,4,0.501044122600202,0.7538490601681307,0.5368834570056744,0.4978919895603292
NCI-H2170,5,0.7518536046695062,0.7538490601681307,0.7447678086512878,0.7310756972111554
NCI-H2170,6,0.7526533018867925,0.7538490601681307,0.7551964859989019,0.7214962351226621
NCI-H2170,7,0.7003764902740013,0.7538490601681307,0.6928601136836268,0.6607254534083803
NCI-H2170,8,0.6900596622509859,0.7538490601681307,0.691216452663598,0.6613285883748518
NCI-H2170,9,0.7409024745269287,0.7538490601681307,0.7418215565466216,0.6917163175091293
NCI-H2170,10,0.7033480129463575,0.7538490601681307,0.7167370358341453,0.673614694046022
NCI-H2170,11,0.7187924370625718,0.7538490601681307,0.712899211945251,0.6799729715681688
NCI-H2170,12,0.7425563754579699,0.7538490601681307,0.7496770025839793,0.7197400487408611
NCI-H2170,13,0.7579462102689487,0.7579462102689487,0.7566520487503027,0.7402544940416077
NCI-H2170,14,0.5502397941279682,0.7579462102689487,0.582006001846722,0.530346654382126
NCI-H2170,15,0.6594399277326106,0.7579462102689487,0.6547044717167443,0.6107089631679795
NCI-H2170,16,0.6470692612527356,0.7579462102689487,0.64865031811724,0.6294626971889455
NCI-H2170,17,0.7380081300813008,0.7579462102689487,0.7316431218778535,0.7109043091240138
NCI-H2170,18,0.6281142025822877,0.7579462102689487,0.6151434694987364,0.6022538333641234
NCI-H2170,19,0.7381557878873505,0.7579462102689487,0.7510252191636176,0.7221561270248009
NCI-H2170,20,0.6149963063284906,0.7579462102689487,0.6114390786799574,0.5707427993936331
NCI-H2170,21,0.7238339903441555,0.7579462102689487,0.7350593912397921,0.6985413290113452
NCI-H2170,22,0.7023472463238652,0.7579462102689487,0.7067471521760296,0.6675746924428823
NCI-H2170,23,0.7365534054548225,0.7579462102689487,0.745455025198554,0.7358199292863902
NCI-H2170,24,0.5395342803398846,0.7579462102689487,0.5754805362623162,0.5327572865617746
NCI-H2170,25,0.7085254015236062,0.7579462102689487,0.7126941866776954,0.6575131281013634
NCI-H2170,26,0.7428403583492437,0.7579462102689487,0.7537737049764541,0.7306628516928946
NCI-H2170,27,0.6782363468734747,0.7579462102689487,0.6779573144387799,0.642791551882461
NCI-H2170,28,0.6782545863273253,0.7579462102689487,0.6866366271075289,0.6442769019876627
NCI-H2170,29,0.7336824387507014,0.7579462102689487,0.7480975800729159,0.714802096511838
NCI-H2170,30,0.6565874730021598,0.7579462102689487,0.6709943819109444,0.6223145735014439
NCI-H2170,31,0.7391783567134268,0.7579462102689487,0.7473783064642354,0.7331180270111568
NCI-H2170,32,0.5250795487416835,0.7579462102689487,0.5515678724786487,0.4949211622777157
NCI-H2170,33,0.6983084577114428,0.7579462102689487,0.6961065138977297,0.6420921544209215
NCI-H2170,34,0.7007168458781362,0.7579462102689487,0.6983225395477227,0.6447820672478207
