pred_idx,gt_idx,distance_px,iou,cost,valid_OR,valid_AND
0,0,2.5124689052802225,0.14285714285714285,0.4913831512034342,True,True
0,1,8.0156097709407,0.0,0.7003902442735175,True,False
0,2,59.188258970846576,0.0,1.0,False,False
0,3,15.976545308670458,0.0,0.8994136327167614,True,False
0,4,134.4479453171375,0.0,1.0,False,False
0,5,47.73101716913227,0.0,1.0,False,False
0,6,97.61275531404695,0.0,1.0,False,False
0,7,68.20007331374359,0.0,1.0,False,False
0,8,239.95051573189002,0.0,1.0,False,False
0,9,105.56159339456751,0.0,1.0,False,False
0,10,60.17682278086805,0.0,1.0,False,False
0,11,98.01147891956329,0.0,1.0,False,False
0,12,68.65311354920475,0.0,1.0,False,False
0,13,257.8201892792727,0.0,1.0,False,False
0,14,333.74279018429746,0.0,1.0,False,False
0,15,283.6128523180852,0.0,1.0,False,False
0,16,121.52880317027729,0.0,1.0,False,False
0,17,214.89823172841605,0.0,1.0,False,False
0,18,218.75385710885192,0.0,1.0,False,False
0,19,203.7136470637154,0.0,1.0,False,False
0,20,314.8622714775462,0.0,1.0,False,False
0,21,341.8789990625338,0.0,1.0,False,False
0,22,230.3394234602492,0.0,1.0,False,False
0,23,374.53204135293953,0.0,1.0,False,False
0,24,142.74540272807388,0.0,1.0,False,False
0,25,234.00053418742445,0.0,1.0,False,False
0,26,178.38791999460054,0.0,1.0,False,False
0,27,316.68478018370257,0.0,1.0,False,False
0,28,160.8765054319617,0.0,1.0,False,False
0,29,204.68573472521234,0.0,1.0,False,False
0,30,207.8250466137323,0.0,1.0,False,False
0,31,380.35542588479,0.0,1.0,False,False
0,32,262.06153857443485,0.0,1.0,False,False
0,33,329.88066023942656,0.0,1.0,False,False
0,34,421.9209049099132,0.0,1.0,False,False
0,35,310.3808144844008,0.0,1.0,False,False
0,36,422.8737991410676,0.0,1.0,False,False
0,37,263.54553686222806,0.0,1.0,False,False
0,38,276.03849369245586,0.0,1.0,False,False
0,39,415.2785209952472,0.0,1.0,False,False
0,40,376.4455471910911,0.0,1.0,False,False
0,41,422.88089339671046,0.0,1.0,False,False
0,42,386.58925230792437,0.0,1.0,False,False
0,43,434.8623345381846,0.0,1.0,False,False
1,0,55.21387959562342,0.0,1.0,False,False
1,1,57.51052077663704,0.0,1.0,False,False
1,2,1.5033296378372907,0.2926829268292683,0.3912417775312981,True,True
1,3,51.836859472772844,0.0,1.0,False,False
1,4,189.44513717696742,0.0,1.0,False,False
1,5,34.23828266721332,0.0,1.0,False,False
1,6,150.57310516822054,0.0,1.0,False,False
1,7,115.97353146300237,0.0,1.0,False,False
1,8,182.2741342044998,0.0,1.0,False,False
1,9,155.69926139837656,0.0,1.0,False,False
1,10,96.1117058427328,0.0,1.0,False,False
1,11,143.80910958628456,0.0,1.0,False,False
1,12,102.59561394133767,0.0,1.0,False,False
1,13,311.849098122794,0.0,1.0,False,False
1,14,387.67184576649356,0.0,1.0,False,False
1,15,336.4916938053598,0.0,1.0,False,False
1,16,153.55604839927344,0.0,1.0,False,False
1,17,262.6348415576273,0.0,1.0,False,False
1,18,265.8079381809354,0.0,1.0,False,False
1,19,153.13869530592194,0.0,1.0,False,False
1,20,365.86098452827684,0.0,1.0,False,False
1,21,393.1720488539337,0.0,1.0,False,False
1,22,179.52008244204882,0.0,1.0,False,False
1,23,425.62972170655564,0.0,1.0,False,False
1,24,159.2402587287524,0.0,1.0,False,False
1,25,184.83792900809078,0.0,1.0,False,False
1,26,210.19481439845276,0.0,1.0,False,False
1,27,364.58560037390396,0.0,1.0,False,False
1,28,153.38272392939174,0.0,1.0,False,False
1,29,173.52769231451217,0.0,1.0,False,False
1,30,178.783276622843,0.0,1.0,False,False
1,31,426.74003796222354,0.0,1.0,False,False
1,32,295.0394210948768,0.0,1.0,False,False
1,33,367.1455569661711,0.0,1.0,False,False
1,34,464.81077870462514,0.0,1.0,False,False
1,35,339.1398826443154,0.0,1.0,False,False
1,36,464.156288334005,0.0,1.0,False,False
1,37,266.9619073950439,0.0,1.0,False,False
1,38,283.86944182141195,0.0,1.0,False,False
1,39,453.7592533491741,0.0,1.0,False,False
1,40,410.47029125138886,0.0,1.0,False,False
1,41,460.940191348075,0.0,1.0,False,False
1,42,420.1188641325214,0.0,1.0,False,False
1,43,472.7484108910362,0.0,1.0,False,False
2,0,9.737171047075224,0.0,0.7434292761768806,True,False
2,1,9.513148795220223,0.0,0.7378287198805056,True,False
2,2,49.52272205765753,0.0,1.0,False,False
2,3,8.276472678623424,0.0,0.7069118169655856,True,False
2,4,141.98767552150434,0.0,1.0,False,False
2,5,36.09016486523718,0.0,1.0,False,False
2,6,103.93507588874894,0.0,1.0,False,False
2,7,71.79484661171719,0.0,1.0,False,False
2,8,229.74877584004665,0.0,1.0,False,False
2,9,110.58254835189864,0.0,1.0,False,False
2,10,58.96185207403173,0.0,1.0,False,False
2,11,101.18547326568176,0.0,1.0,False,False
2,12,67.1006706374832,0.0,1.0,False,False
2,13,264.95754376880836,0.0,1.0,False,False
2,14,340.87020990400435,0.0,1.0,False,False
2,15,290.22491278317233,0.0,1.0,False,False
2,16,120.5093357379419,0.0,1.0,False,False
2,17,219.35929430958697,0.0,1.0,False,False
2,18,222.9764561562498,0.0,1.0,False,False
2,19,192.0689980189411,0.0,1.0,False,False
2,20,320.70001559089457,0.0,1.0,False,False
2,21,347.8541360973016,0.0,1.0,False,False
2,22,218.69270678282803,0.0,1.0,False,False
2,23,380.4477625114912,0.0,1.0,False,False
2,24,138.20455853552733,0.0,1.0,False,False
2,25,222.3027215307991,0.0,1.0,False,False
2,26,177.80466810519908,0.0,1.0,False,False
2,27,321.35727780773846,0.0,1.0,False,False
2,28,152.29084017103588,0.0,1.0,False,False
2,29,193.68143948246563,0.0,1.0,False,False
2,30,197.00380706981275,0.0,1.0,False,False
2,31,384.5627387046228,0.0,1.0,False,False
2,32,262.13450745752647,0.0,1.0,False,False
2,33,331.2589621429132,0.0,1.0,False,False
2,34,425.0441153574532,0.0,1.0,False,False
2,35,309.50363487364734,0.0,1.0,False,False
2,36,425.51439458612913,0.0,1.0,False,False
2,37,257.24793487995197,0.0,1.0,False,False
2,38,270.5817806135513,0.0,1.0,False,False
2,39,417.10490287216714,0.0,1.0,False,False
2,40,377.0179040841429,0.0,1.0,False,False
2,41,424.5968676285778,0.0,1.0,False,False
2,42,387.0458629154948,0.0,1.0,False,False
2,43,436.5415215074048,0.0,1.0,False,False
3,0,12.149953261882448,0.0,0.8037488315470612,True,False
3,1,4.706481650775439,0.14102564102564102,0.5471492207565655,True,True
3,2,57.281791182783664,0.0,1.0,False,False
3,3,4.957017466245681,0.1125,0.567675436656142,True,True
3,4,133.735573431709,0.0,1.0,False,False
3,5,38.79288351791277,0.0,1.0,False,False
3,6,95.3091558039174,0.0,1.0,False,False
3,7,62.742946100088105,0.0,1.0,False,False
3,8,236.590571109565,0.0,1.0,False,False
3,9,101.65547294688764,0.0,1.0,False,False
3,10,50.418703933869544,0.0,1.0,False,False
3,11,92.10430826572683,0.0,1.0,False,False
3,12,58.68957964581763,0.0,1.0,False,False
3,13,256.4737463142699,0.0,1.0,False,False
3,14,332.36559360384217,0.0,1.0,False,False
3,15,281.5682462304984,0.0,1.0,False,False
3,16,112.0293355427973,0.0,1.0,False,False
3,17,210.3256708336725,0.0,1.0,False,False
3,18,213.92385123548948,0.0,1.0,False,False
3,19,196.0049500477304,0.0,1.0,False,False
3,20,311.85040850593504,0.0,1.0,False,False
3,21,339.02995275383256,0.0,1.0,False,False
3,22,222.59106574271226,0.0,1.0,False,False
3,23,371.60780602113954,0.0,1.0,False,False
3,24,131.22477069217265,0.0,1.0,False,False
3,25,225.7456496545396,0.0,1.0,False,False
3,26,169.23992132333638,0.0,1.0,False,False
3,27,312.3345767148337,0.0,1.0,False,False
3,28,148.47910865293875,0.0,1.0,False,False
3,29,193.47063811243905,0.0,1.0,False,False
3,30,196.38963264804573,0.0,1.0,False,False
3,31,375.5015500998948,0.0,1.0,False,False
3,32,253.4316962294567,0.0,1.0,False,False
3,33,322.32436003937437,0.0,1.0,False,False
3,34,415.96589361838267,0.0,1.0,False,False
3,35,301.0531399517239,0.0,1.0,False,False
3,36,416.45653519469613,0.0,1.0,False,False
3,37,251.4319902207577,0.0,1.0,False,False
3,38,264.1969827730271,0.0,1.0,False,False
3,39,408.1175571366825,0.0,1.0,False,False
3,40,368.22310659800667,0.0,1.0,False,False
3,41,415.6228596887386,0.0,1.0,False,False
3,42,378.27495349707374,0.0,1.0,False,False
3,43,427.5725157592417,0.0,1.0,False,False
4,0,136.33331397717873,0.0,1.0,False,False
4,1,132.0085603284878,0.0,1.0,False,False
4,2,190.4401743330435,0.0,1.0,False,False
4,3,137.10820544372973,0.0,1.0,False,False
4,4,0.5099019513592787,0.325,0.350247548783982,True,True
4,5,164.61306145017775,0.0,1.0,False,False
4,6,39.96823738920695,0.0,1.0,False,False
4,7,77.61352974836282,0.0,1.0,False,False
4,8,366.9466718748107,0.0,1.0,False,False
4,9,43.02859514323004,0.0,1.0,False,False
4,10,105.52847956831368,0.0,1.0,False,False
4,11,62.391185274844716,0.0,1.0,False,False
4,12,104.86114628402647,0.0,1.0,False,False
4,13,123.99943548258597,0.0,1.0,False,False
4,14,199.880614367677,0.0,1.0,False,False
4,15,150.55583681810546,0.0,1.0,False,False
4,16,100.3108169640742,0.0,1.0,False,False
4,17,95.58587761798287,0.0,1.0,False,False
4,18,101.05374807497245,0.0,1.0,False,False
4,19,312.31756274663775,0.0,1.0,False,False
4,20,183.90067971598148,0.0,1.0,False,False
4,21,210.2604575282761,0.0,1.0,False,False
4,22,337.67774578731127,0.0,1.0,False,False
