filename,file_type,size_kb,path
fig2_matching_example.png,figure,466.1,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/fig2_matching_example.png
fig2_matching_example.svg,figure,2668.9,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/fig2_matching_example.svg
figS_or_vs_and_headline.png,figure,51.8,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_or_vs_and_headline.png
figS_or_vs_and_headline.svg,figure,19.5,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_or_vs_and_headline.svg
figS_sensitivity_heatmaps.png,figure,301.9,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_sensitivity_heatmaps.png
figS_sensitivity_heatmaps.svg,figure,234.9,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_sensitivity_heatmaps.svg
figS_sensitivity_range.png,figure,48.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_sensitivity_range.png
figS_sensitivity_range.svg,figure,22.9,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_sensitivity_range.svg
figS_sensitivity_range_and.png,figure,51.8,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_sensitivity_range_and.png
figS_sensitivity_range_and.svg,figure,22.9,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/figS_sensitivity_range_and.svg
notebook04_output_manifest.csv,source_data,2.5,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/notebook04_output_manifest.csv
source_fig2_matching_example_summary.csv,source_data,0.1,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/source_fig2_matching_example_summary.csv
source_fig2_pair_table.csv,source_data,78.9,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/source_fig2_pair_table.csv
source_figS_or_vs_and_headline.csv,source_data,0.6,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/source_figS_or_vs_and_headline.csv
source_figS_sensitivity_heatmaps.csv,source_data,104.0,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/source_figS_sensitivity_heatmaps.csv
source_figS_sensitivity_range.csv,source_data,1.3,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/source_figS_sensitivity_range.csv
source_figS_sensitivity_range_and.csv,source_data,1.3,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook04/source_figS_sensitivity_range_and.csv
