row_index,cell_line,unique_id,panel,model,path,path_exists,crop_x0,crop_y0,crop_x1,crop_y1,object_f1,pred_count,gt_count,foreground_pixels,mask_shape_matches_rgb
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,RGB crop,,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/rgb/ncih2170_antibiotics_ps_g_56.tif,True,0,142,2079,1539,,,174,,
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,GT only,Ground truth,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/ncih2170_antibiotics_ps_g_56.tif,True,0,142,2079,1539,,,174,2262.0,True
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,GT-vs-pred overlay,ecCount (peaks),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/ncih2170_antibiotics_ps_g_56.png,True,0,142,2079,1539,0.96045197740113,189.0,174,2457.0,True
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,GT-vs-pred overlay,ecCount (threshold mask),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_threshold/ncih2170_antibiotics_ps_g_56.png,True,0,142,2079,1539,0.9515669515669516,182.0,174,10428.0,True
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,GT-vs-pred overlay,Label Engine,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/label_engine/ncih2170_antibiotics_ps_g_56.png,True,0,142,2079,1539,0.9046153846153846,153.0,174,4874.0,True
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,GT-vs-pred overlay,MIA,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/mia/ncih2170_antibiotics_ps_g_56.png,True,0,142,2079,1539,0.967930029154519,173.0,174,8679.0,True
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,GT-vs-pred overlay,Classic (after opt),/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/ncih2170_antibiotics_ps_g_56.png,True,0,142,2079,1539,0.7142857142857143,171.0,174,39517.0,True
0,NCI-H2170,ncih2170_antibiotics_ps_g_56,GT-vs-pred overlay,ecSeg,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/ecseg/ncih2170_antibiotics_ps_g_56.png,True,0,142,2079,1539,0.4633204633204633,90.0,174,3440.0,True
1,SNU16,snu16_jc_jq1_ic50_24h_67,RGB crop,,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/rgb/snu16_jc_jq1_ic50_24h_67.tif,True,664,525,1730,1556,,,213,,
1,SNU16,snu16_jc_jq1_ic50_24h_67,GT only,Ground truth,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/snu16_jc_jq1_ic50_24h_67.tif,True,664,525,1730,1556,,,213,2769.0,True
1,SNU16,snu16_jc_jq1_ic50_24h_67,GT-vs-pred overlay,ecCount (peaks),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/snu16_jc_jq1_ic50_24h_67.png,True,664,525,1730,1556,0.9207920792079208,198.0,213,2574.0,True
1,SNU16,snu16_jc_jq1_ic50_24h_67,GT-vs-pred overlay,ecCount (threshold mask),/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_threshold/snu16_jc_jq1_ic50_24h_67.png,True,664,525,1730,1556,0.912718204488778,193.0,213,7760.0,True
1,SNU16,snu16_jc_jq1_ic50_24h_67,GT-vs-pred overlay,Label Engine,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/label_engine/snu16_jc_jq1_ic50_24h_67.png,True,664,525,1730,1556,0.4771929824561403,73.0,213,1597.0,True
1,SNU16,snu16_jc_jq1_ic50_24h_67,GT-vs-pred overlay,MIA,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/mia/snu16_jc_jq1_ic50_24h_67.png,True,664,525,1730,1556,0.3538461538461538,47.0,213,1627.0,True
1,SNU16,snu16_jc_jq1_ic50_24h_67,GT-vs-pred overlay,Classic (after opt),/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/snu16_jc_jq1_ic50_24h_67.png,True,664,525,1730,1556,0.8753180661577609,196.0,213,4975.0,True
