upload_relpath,root_label,top_dir,filename,uid,ext,size_bytes,magic,format_ok,name_problems,manifest_key,abs_path
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_1.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_1.png,colo320dm_qpcr_jq1_24h_ctrl_1,.png,411305,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_1.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_1.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_10.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_10.png,colo320dm_qpcr_jq1_24h_ctrl_10,.png,450783,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_10.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_10.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_100.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_100.png,colo320dm_qpcr_jq1_24h_ctrl_100,.png,270836,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_100.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_100.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_101.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_101.png,colo320dm_qpcr_jq1_24h_ctrl_101,.png,232816,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_101.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_101.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_102.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_102.png,colo320dm_qpcr_jq1_24h_ctrl_102,.png,507899,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_102.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_102.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_103.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_103.png,colo320dm_qpcr_jq1_24h_ctrl_103,.png,168365,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_103.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_103.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_104.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_104.png,colo320dm_qpcr_jq1_24h_ctrl_104,.png,333152,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_104.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_104.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_105.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_105.png,colo320dm_qpcr_jq1_24h_ctrl_105,.png,261099,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_105.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_105.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_106.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_106.png,colo320dm_qpcr_jq1_24h_ctrl_106,.png,420388,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_106.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_106.png
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_107.png,images,dapi,colo320dm_qpcr_jq1_24h_ctrl_107.png,colo320dm_qpcr_jq1_24h_ctrl_107,.png,180681,PNG,yes,,dapi/colo320dm_qpcr_jq1_24h_ctrl_107.png,/proj/brunk_ecdna_cv_project/Poorya/ecDNA_Data/bioimage_archive/dapi/colo320dm_qpcr_jq1_24h_ctrl_107.png
