upload_relpath,root_label,top_dir,filename,uid,ext,size_bytes,magic,format_ok,name_problems,manifest_key,abs_path
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_1.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_1.png,colo320dm_qpcr_jq1_24h_ctrl_1,.png,12055,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_1.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_1.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_10.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_10.png,colo320dm_qpcr_jq1_24h_ctrl_10,.png,15055,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_10.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_10.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_100.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_100.png,colo320dm_qpcr_jq1_24h_ctrl_100,.png,13548,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_100.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_100.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_101.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_101.png,colo320dm_qpcr_jq1_24h_ctrl_101,.png,11926,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_101.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_101.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_102.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_102.png,colo320dm_qpcr_jq1_24h_ctrl_102,.png,16030,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_102.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_102.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_103.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_103.png,colo320dm_qpcr_jq1_24h_ctrl_103,.png,11817,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_103.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_103.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_104.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_104.png,colo320dm_qpcr_jq1_24h_ctrl_104,.png,16777,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_104.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_104.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_105.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_105.png,colo320dm_qpcr_jq1_24h_ctrl_105,.png,12742,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_105.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_105.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_106.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_106.png,colo320dm_qpcr_jq1_24h_ctrl_106,.png,15525,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_106.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_106.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_107.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_107.png,colo320dm_qpcr_jq1_24h_ctrl_107,.png,11673,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_107.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_107.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_108.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_108.png,colo320dm_qpcr_jq1_24h_ctrl_108,.png,13246,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_108.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_108.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_109.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_109.png,colo320dm_qpcr_jq1_24h_ctrl_109,.png,12148,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_109.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_109.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_11.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_11.png,colo320dm_qpcr_jq1_24h_ctrl_11,.png,12047,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_11.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_11.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_110.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_110.png,colo320dm_qpcr_jq1_24h_ctrl_110,.png,14243,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_110.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_110.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_111.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_111.png,colo320dm_qpcr_jq1_24h_ctrl_111,.png,15322,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_111.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_111.png
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_112.png,predicted_roi,(root),colo320dm_qpcr_jq1_24h_ctrl_112.png,colo320dm_qpcr_jq1_24h_ctrl_112,.png,14652,PNG,yes,,all/colo320dm_qpcr_jq1_24h_ctrl_112.png,/proj/brunk_ecdna_cv_project/Poorya/River/output/all/colo320dm_qpcr_jq1_24h_ctrl_112.png
